School Name,Acceptance Rate,SAT Math,SAT Reading and Writing,SAT Composite,ACT Composite,URL
Felician College,79.40%,500,503,1003,19,http://felician.edu
University of North Carolina Pembroke,81.20%,500,501,1001,20,http://uncp.edu
Monmouth College,67.00%,480,520,1000,23,http://monmouthcollege.edu
Greenville University,47.60%,490,510,1000,22,http://greenville.edu
West Liberty University,72.10%,510,490,1000,21,http://westliberty.edu
Ohio Valley University,63.60%,510,490,1000,21,http://ovu.edu
Urbana University,65.00%,500,500,1000,20,http://urbana.edu
Tiffin University,69.20%,500,500,1000,20,http://tiffin.edu
Keystone College,92.00%,500,500,1000,20,http://keystone.edu
Indiana University Northwest,79.60%,500,500,1000,20,http://iun.edu
University of West Georgia,58.60%,470,530,1000,20,http://westga.edu
University of Maine Fort Kent,95.00%,490,510,1000,20,http://umfk.edu
Holy Family University,70.70%,490,510,1000,19,http://holyfamily.edu
Grand Canyon University,67.00%,500,500,1000,19,http://gcu.edu
California State University Stanislaus,85.80%,490,510,1000,19,http://csustan.edu
Rhode Island College,72.80%,490,510,1000,19,http://ric.edu
Dixie State University,100.00%,500,500,1000,19,http://dixie.edu
California State University San Bernardino,54.80%,500,500,1000,18,http://csusb.edu
Oakwood University,57.40%,480,520,1000,18,http://oakwood.edu
University of Maine at Presque Isle,91.60%,490,508,998,20,http://umpi.edu
Averett University,61.00%,500,495,995,19,http://averett.edu
Wayland Baptist University,98.00%,500,493,993,20,http://wbu.edu
California State University Bakersfield,100.00%,490,503,993,19,http://csub.edu
California State University East Bay,71.60%,490,502,992,19,http://csueastbay.edu
Carlow University,91.40%,480,510,990,22,http://carlow.edu
Southwest Minnesota State University,80.00%,490,500,990,21,http://smsu.edu
Central Baptist College,62.00%,470,520,990,21,http://cbc.edu
Nyack College,98.40%,490,500,990,20,http://nyack.edu
Francis Marion University,60.00%,490,500,990,20,http://fmarion.edu
Kean University,86.00%,490,500,990,20,http://kean.edu
Canton State University of New York,78.00%,495,495,990,19,http://canton.edu
University of Texas Brownsville,87.00%,510,480,990,19,http://utb.edu
Warner Pacific College,62.80%,480,510,990,18,http://warnerpacific.edu
The College of New Rochelle,68.40%,470,519,989,22,http://cnr.edu
California State University Los Angeles,41.50%,490,495,985,18,http://calstate.edu
Eastern New Mexico University,60.00%,480,500,980,20,http://enmu.edu
Eastern Washington University,63.50%,480,500,980,20,http://ewu.edu
Tennessee State University,51.80%,490,490,980,18,http://tnstate.edu
North Carolina Central University,38.20%,490,490,980,18,http://nccu.edu
University of Arkansas at Pine Bluff,46.70%,480,500,980,18,http://uapb.edu
Neumann University,96.30%,490,489,979,18,http://neumann.edu
Columbus State University,53.40%,480,498,978,21,http://columbusstate.edu
Concord University,90.20%,500,477,977,21,http://concord.edu
Adams State University,98.60%,480,495,975,20,http://adams.edu
West Virginia State University,97.60%,490,484,974,19,http://wvstateu.edu
Prairie View A&M University,74.30%,480,493,973,19,http://pvamu.edu
The Lincoln University,79.70%,480,493,973,18,http://lincoln.edu
Elizabeth City State University,59.40%,480,491,971,18,http://ecsu.edu
Defiance College,56.50%,490,480,970,20,http://defiance.edu
SUNY Cobleskill,94.00%,480,490,970,20,http://cobleskill.edu
Life University,99.30%,480,490,970,19,http://life.edu
North Carolina Wesleyan College,97.80%,480,490,970,19,http://ncwc.edu
Alcorn State University,78.60%,490,480,970,19,http://alcorn.edu
Five Towns College,62.30%,480,490,970,18,http://ftc.edu
Ashford University,100.00%,485,485,970,18,http://ashford.edu
Winston-Salem State University,54.00%,490,480,970,17,http://wssu.edu
New Jersey City University,95.90%,480,481,961,18,http://njcu.edu
Governors State University,37.80%,470,490,960,19,http://govst.edu
Clayton State University,48.00%,460,491,951,20,http://clayton.edu
Holy Names University,52.60%,470,480,950,20,http://hnu.edu
Kentucky State University,45.40%,470,480,950,19,http://kysu.edu
Warner University,41.00%,480,470,950,18,http://warner.edu
Norfolk State University,67.30%,470,480,950,18,http://nsu.edu
New Mexico Highlands University,100.00%,480,470,950,17,http://nmhu.edu
Mount Ida College,63.00%,470,480,950,17,http://mountida.edu
Coppin State University,53.50%,470,480,950,17,http://coppin.edu
Morrisville State College,71.90%,470,475,945,19,http://morrisville.edu
Albertus Magnus College,58.10%,460,480,940,24,http://albertus.edu
Morehead State University,79.60%,480,460,940,23,http://moreheadstate.edu
Ferrum College,73.30%,470,470,940,20,http://ferrum.edu
Barry University,85.10%,510,430,940,19,http://barry.edu
Savannah State University,82.60%,460,480,940,17,http://savannahstate.edu
Gallaudet University,57.10%,470,470,940,17,http://gallaudet.edu
Bowie State University,38.00%,460,480,940,17,http://bowiestate.edu
South Carolina State University,53.20%,460,480,940,16,http://scsu.edu
Middle Georgia State University,94.00%,460,475,935,19,http://mga.edu
Avila University,41.10%,490,440,930,22,http://avila.edu
Alabama A&M University,50.80%,470,460,930,18,http://aamu.edu
Jackson State University,68.90%,465,465,930,17,http://jsums.edu
Virginia Union University,57.30%,430,500,930,16,http://vuu.edu
Roosevelt University,69.50%,460,462,922,23,http://roosevelt.edu
Finlandia University,37.70%,470,450,920,21,http://finlandia.edu
Virginia State University,91.00%,450,470,920,17,http://vsu.edu
Delaware State University,45.20%,450,460,910,19,http://desu.edu
Texas Southern University,56.60%,450,460,910,17,http://tsu.edu
Chowan University,54.70%,440,470,910,16,http://chowan.edu
Wesley College,60.50%,470,430,900,18,http://wesley.edu
California State University Dominguez Hills,77.20%,440,460,900,18,http://csudh.edu
Cheyney University of Pennsylvania,46.00%,450,440,890,18,http://cheyney.edu
The LeMoyne-Owen College,100.00%,445,445,890,16,http://loc.edu
Langston University,53.80%,445,445,890,16,http://langston.edu
Harris-Stowe State University,55.70%,430,450,880,18,http://hssu.edu
Shaw University,52.50%,420,431,851,15,http://shawu.edu
University of Louisiana at Monroe,71.60%,440,410,850,23,http://ulm.edu
Paine College,32.00%,410,420,830,16,http://paine.edu
Hesston College,100.00%,400,430,830,15,http://hesston.edu
Bethune-Cookman University,54.30%,390,410,800,16,http://cookman.edu
Central State University,57.10%,390,410,800,15,http://centralstate.edu
